Country,Scandinavia?,German-speaking?,English-speaking? 
Australia,0,0,1
Austria,0,1,0
Belgium,0,0,0
Canada,0,0,1
Chile,0,0,0
Czech Republic,0,0,0
Denmark,1,0,0
Estonia,0,0,0
Finland,1,0,0
France,0,0,0
Germany,0,1,0
Greece,0,0,0
Hungary,0,0,0
Iceland,1,0,0
Ireland,0,0,1
Israel,0,0,0
Italy,0,0,0
Japan,0,0,0
Korea,0,0,0
Latvia,0,0,0
Luxembourg,0,0,0
Mexico,0,0,0
Netherlands,0,0,0
New Zealand,0,0,1
Norway,1,0,0
Poland,0,0,0
Portugal,0,0,0
Slovak Republic,0,0,0
Slovenia,0,0,0
Spain,0,0,0
Sweden,1,0,0
Switzerland,0,1,0
Turkey,0,0,0
United Kingdom,0,0,1
United States,0,0,1
Costa Rica,0,0,0
Bulgaria,0,0,0
Croatia,0,0,0
Cyprus,0,0,0
Lithuania,0,0,0
Malta,0,0,0
Romania,0,0,0