Country,Value
Australia,54144.17702
Austria,55528.86995
Belgium,50442.05338
Canada,48106.91176
Czech Republic,39740.84902
Denmark,55137.8151
Finland,47946.24366
France,45149.09605
Germany,53749.44116
Greece,29592.43839
Hungary,30665.50167
Iceland,57453.36788
Ireland,83081.13216
Italy,41626.02503
Japan,42823.09045
"Korea, Republic of",40096.44165
Luxembourg,110906.3924
Mexico,20144.74501
Netherlands,56325.69946
New Zealand,40713.12222
Norway,65602.90289
Poland,30988.48679
Portugal,33034.62413
Slovakia,33923.45711
Spain,39907.56334
Sweden,52766.47199
Switzerland,67961.06003
Turkey,28205.24868
United Kingdom,45504.84425
United States of America,62479.72635
Chile,25167.64832
Estonia,35498.18264
Israel,39835.04155
Slovenia,38134.48585
Latvia,30697.93879
Lithuania,35210.05167
Bulgaria,21884.3805
Cyprus,37803.79387
Malta,42723.32105
Romania,28124.50646