Country,Employment rate
Sweden,83.1
Denmark,82.0
Slovenia,79.1
Switzerland,77.5
Lithuania,75.8
Austria,75.7
Portugal,75.7
Netherlands,74.8
Luxembourg,74.8
Canada,73.7
Finland,73.6
Belgium,72.4
Russian Fed.,72.3
France,72.2
Israel,72.1
Latvia,70.1
Cyprus,69.6
Croatia,69.2
Germany,69.0
Poland,67.6
United Kingdom,67.1
Romania,65.8
United States,65.7
Estonia,65.5
Bulgaria,65.3
Japan,63.2
New Zealand,63.2
Australia,62.9
Czech Republic,61.6
Ireland,60.2
Spain,59.5
Hungary,58.1
Malta,56.8
Slovak Republic,56.6
Italy,55.3
Chile,54.9
Greece,52.2
Costa Rica,51.5
Mexico,44.8
Turkey,30.0
Iceland,
Korea,
Norway,