Country ,Youth dependency ratio 2015
Bulgaria,29.6
Germany,29.9
Korea,30.2
Slovenia,30.8
Czech Republic,31
Italy,31.1
Hungary,31.3
Japan,31.4
Austria,31.4
Poland,31.4
Spain,31.5
Slovak Republic,31.6
Latvia,31.9
Greece,32.3
Switzerland,32.3
Portugal,32.3
Malta,32.5
Lithuania,33.4
Romania,33.6
Croatia,33.9
Estonia,33.9
Luxembourg,35.1
Canada,35.3
Finland,37.9
Belgium,38.1
Netherlands,38.3
Sweden,38.8
United Kingdom,39.9
Denmark,40.1
Norway,40.8
Australia,41.8
France,42.5
United States,43.5
Iceland,45.4
New Zealand,46
Chile,46.3
Ireland,46.4
Costa Rica,50.5
Colombia,54.3
Turkey,58.7
Mexico,64.9
Israel,67